Experiment,Tag,Trigger,Arch_Pair,Dist_Ep,FT_Ep,Temp,V_Temp,RW,Delta,Beta,Trig_Size,T_Acc,S_Acc(FT0%),Design,FT0%_Shift,FT0%_P,FT0%_Ver,FT1%_Acc,FT1%_Shift,FT1%_P,FT1%_Ver,FT5%_Acc,FT5%_Shift,FT5%_P,FT5%_Ver,FT10%_Acc,FT10%_Shift,FT10%_P,FT10%_Ver
Exp1_MainTable,c100_resnet56_resnet56_T10,OWN,resnet56 -> resnet56,120,20,10,10.0,0.1,5.0,0.5,50000,72.6%,60.1%,single_ctrl,0.0006,1.4e-160,True,59.7%,0.0006,9.3e-158,True,60.5%,0.0005,7.8e-124,True,60.2%,0.0005,2.2e-160,True
Exp1_MainTable,c100_resnet56_resnet56_T10,OWN,resnet56 -> resnet56,120,20,10,10.0,0.1,5.0,0.5,50000,72.6%,60.1%,suspect_top1,0.0006,3.6e-224,True,59.7%,0.0006,2.5e-166,True,60.5%,0.0005,2.8e-136,True,60.2%,0.0005,8.7e-192,True
Exp1_MainTable,c100_vgg11_vgg11_T1,OWN,vgg11 -> vgg11,120,20,1,10.0,0.1,5.0,0.5,50000,70.8%,38.3%,mean_rest,-0.0003,1.0e+00,False,33.4%,-0.0002,1.0e+00,False,30.3%,-0.0003,1.0e+00,False,28.2%,-0.0003,1.0e+00,False
Exp1_MainTable,c100_vgg11_vgg11_T1,OWN,vgg11 -> vgg11,120,20,1,10.0,0.1,5.0,0.5,50000,70.8%,38.3%,single_ctrl,0.0006,1.8e-08,False,33.4%,0.0007,3.8e-68,True,30.3%,0.0005,2.4e-70,True,28.2%,0.0004,1.5e-81,True
Exp1_MainTable,c100_vgg11_vgg11_T1,OWN,vgg11 -> vgg11,120,20,1,10.0,0.1,5.0,0.5,50000,70.8%,38.3%,suspect_top1,0.0002,1.0e+00,False,33.4%,0.0008,2.6e-142,True,30.3%,0.0003,1.4e-93,True,28.2%,0.0002,1.9e-67,True
Exp1_MainTable,c100_vgg11_vgg11_T3,OWN,vgg11 -> vgg11,120,20,3,10.0,0.1,5.0,0.5,50000,70.8%,49.0%,mean_rest,0.0003,5.9e-02,False,46.3%,0.0003,7.4e-12,False,47.4%,0.0002,2.0e-16,False,47.5%,0.0002,5.7e-21,True
Exp1_MainTable,c100_vgg11_vgg11_T3,OWN,vgg11 -> vgg11,120,20,3,10.0,0.1,5.0,0.5,50000,70.8%,49.0%,single_ctrl,0.0006,0.0e+00,True,46.3%,0.0005,0.0e+00,True,47.4%,0.0004,0.0e+00,True,47.5%,0.0004,0.0e+00,True
Exp1_MainTable,c100_vgg11_vgg11_T3,OWN,vgg11 -> vgg11,120,20,3,10.0,0.1,5.0,0.5,50000,70.8%,49.0%,suspect_top1,0.0006,0.0e+00,True,46.3%,0.0005,0.0e+00,True,47.4%,0.0004,0.0e+00,True,47.5%,0.0003,3.3e-295,True
Exp1_MainTable,c100_vgg11_vgg11_T5,OWN,vgg11 -> vgg11,120,20,5,10.0,0.1,5.0,0.5,50000,70.8%,50.3%,mean_rest,0.0002,1.0e+00,False,47.6%,0.0002,6.4e-04,False,47.8%,0.0002,1.8e-03,False,47.0%,0.0001,6.5e-04,False
Exp1_MainTable,c100_vgg11_vgg11_T5,OWN,vgg11 -> vgg11,120,20,5,10.0,0.1,5.0,0.5,50000,70.8%,50.3%,single_ctrl,0.0005,7.4e-177,True,47.6%,0.0004,3.5e-233,True,47.8%,0.0003,1.9e-238,True,47.0%,0.0003,7.8e-270,True
Exp1_MainTable,c100_vgg11_vgg11_T5,OWN,vgg11 -> vgg11,120,20,5,10.0,0.1,5.0,0.5,50000,70.8%,50.3%,suspect_top1,0.0005,1.3e-255,True,47.6%,0.0004,0.0e+00,True,47.8%,0.0004,0.0e+00,True,47.0%,0.0004,0.0e+00,True
Exp1_MainTable,c100_vgg11_vgg11_T10,OWN,vgg11 -> vgg11,120,20,10,10.0,0.1,5.0,0.5,50000,70.8%,52.8%,mean_rest,0.0002,1.2e-02,False,51.0%,0.0002,1.7e-03,False,51.6%,0.0002,5.0e-04,False,51.4%,0.0001,2.7e-03,False
Exp1_MainTable,c100_vgg11_vgg11_T10,OWN,vgg11 -> vgg11,120,20,10,10.0,0.1,5.0,0.5,50000,70.8%,52.8%,single_ctrl,0.0004,2.3e-135,True,51.0%,0.0004,4.4e-159,True,51.6%,0.0003,1.9e-166,True,51.4%,0.0003,2.6e-151,True
Exp1_MainTable,c100_vgg11_vgg11_T10,OWN,vgg11 -> vgg11,120,20,10,10.0,0.1,5.0,0.5,50000,70.8%,52.8%,suspect_top1,0.0005,8.9e-216,True,51.0%,0.0004,2.1e-274,True,51.6%,0.0003,6.6e-242,True,51.4%,0.0003,5.3e-243,True
Exp1_MainTable,c100_resnet56_resnet20_T1,REC,resnet56 -> resnet20,120,20,1,10.0,0.1,5.0,0.5,4914,72.6%,47.2%,mean_rest,0.0004,1.0e+00,False,46.9%,0.0003,1.0e+00,False,48.1%,0.0003,1.0e+00,False,49.5%,0.0003,1.0e+00,False
Exp1_MainTable,c100_resnet56_resnet20_T1,REC,resnet56 -> resnet20,120,20,1,10.0,0.1,5.0,0.5,4914,72.6%,47.2%,single_ctrl,0.0011,1.1e-13,False,46.9%,0.0010,3.9e-10,False,48.1%,0.0010,4.9e-11,False,49.5%,0.0010,3.2e-12,False
Exp1_MainTable,c100_resnet56_resnet20_T1,REC,resnet56 -> resnet20,120,20,1,10.0,0.1,5.0,0.5,4914,72.6%,47.2%,suspect_top1,0.0011,1.1e-13,False,46.9%,0.0010,6.3e-10,False,48.1%,0.0010,2.7e-11,False,49.5%,0.0010,6.3e-12,False
Exp1_MainTable,c100_resnet56_resnet20_T3,REC,resnet56 -> resnet20,120,20,3,10.0,0.1,5.0,0.5,4977,72.6%,52.4%,mean_rest,0.0008,4.9e-04,False,51.9%,0.0007,8.2e-05,False,52.2%,0.0007,9.5e-04,False,52.0%,0.0006,2.7e-03,False
Exp1_MainTable,c100_resnet56_resnet20_T3,REC,resnet56 -> resnet20,120,20,3,10.0,0.1,5.0,0.5,4977,72.6%,52.4%,single_ctrl,0.0010,3.6e-41,True,51.9%,0.0010,2.3e-38,True,52.2%,0.0009,9.7e-38,True,52.0%,0.0008,4.9e-34,True
Exp1_MainTable,c100_resnet56_resnet20_T3,REC,resnet56 -> resnet20,120,20,3,10.0,0.1,5.0,0.5,4977,72.6%,52.4%,suspect_top1,0.0010,4.3e-41,True,51.9%,0.0010,1.0e-38,True,52.2%,0.0008,8.2e-37,True,52.0%,0.0008,1.4e-35,True
Exp1_MainTable,c100_resnet56_resnet20_T5,REC,resnet56 -> resnet20,120,20,5,10.0,0.1,5.0,0.5,4976,72.6%,53.2%,mean_rest,0.0007,5.2e-02,False,52.2%,0.0006,6.2e-02,False,53.1%,0.0005,2.8e-01,False,53.2%,0.0004,8.7e-02,False
Exp1_MainTable,c100_resnet56_resnet20_T5,REC,resnet56 -> resnet20,120,20,5,10.0,0.1,5.0,0.5,4976,72.6%,53.2%,single_ctrl,0.0009,1.4e-36,True,52.2%,0.0009,2.6e-34,True,53.1%,0.0008,2.2e-32,True,53.2%,0.0007,1.2e-33,True
Exp1_MainTable,c100_resnet56_resnet20_T5,REC,resnet56 -> resnet20,120,20,5,10.0,0.1,5.0,0.5,4976,72.6%,53.2%,suspect_top1,0.0009,1.5e-33,True,52.2%,0.0008,3.6e-32,True,53.1%,0.0007,2.1e-29,True,53.2%,0.0007,2.6e-32,True
Exp1_MainTable,c100_resnet56_resnet20_T10,REC,resnet56 -> resnet20,120,20,10,10.0,0.1,5.0,0.5,4933,72.6%,54.4%,mean_rest,0.0006,1.2e-01,False,53.8%,0.0006,1.7e-01,False,54.3%,0.0006,5.1e-02,False,54.6%,0.0005,1.1e-01,False
Exp1_MainTable,c100_resnet56_resnet20_T10,REC,resnet56 -> resnet20,120,20,10,10.0,0.1,5.0,0.5,4933,72.6%,54.4%,single_ctrl,0.0009,2.7e-37,True,53.8%,0.0009,9.6e-35,True,54.3%,0.0008,1.2e-34,True,54.6%,0.0008,9.4e-35,True
Exp1_MainTable,c100_resnet56_resnet20_T10,REC,resnet56 -> resnet20,120,20,10,10.0,0.1,5.0,0.5,4933,72.6%,54.4%,suspect_top1,0.0009,1.5e-33,True,53.8%,0.0009,6.4e-32,True,54.3%,0.0008,4.1e-31,True,54.6%,0.0007,1.8e-30,True
Exp1_MainTable,c100_resnet56_resnet56_T1,REC,resnet56 -> resnet56,120,20,1,10.0,0.1,5.0,0.5,5022,72.6%,53.8%,mean_rest,0.0002,1.0e+00,False,53.9%,0.0002,1.0e+00,False,54.1%,0.0002,1.0e+00,False,54.3%,0.0002,1.0e+00,False
Exp1_MainTable,c100_resnet56_resnet56_T1,REC,resnet56 -> resnet56,120,20,1,10.0,0.1,5.0,0.5,5022,72.6%,53.8%,single_ctrl,0.0004,9.2e-04,False,53.9%,0.0004,1.4e-02,False,54.1%,0.0004,1.7e-03,False,54.3%,0.0004,3.6e-03,False
Exp1_MainTable,c100_resnet56_resnet56_T1,REC,resnet56 -> resnet56,120,20,1,10.0,0.1,5.0,0.5,5022,72.6%,53.8%,suspect_top1,0.0004,9.2e-04,False,53.9%,0.0004,1.4e-02,False,54.1%,0.0004,1.7e-03,False,54.3%,0.0004,3.7e-03,False
Exp1_MainTable,c100_resnet56_resnet56_T3,REC,resnet56 -> resnet56,120,20,3,10.0,0.1,5.0,0.5,4838,72.6%,57.4%,mean_rest,0.0008,2.1e-07,False,57.5%,0.0008,8.8e-11,False,58.0%,0.0007,2.7e-10,False,58.1%,0.0007,2.8e-08,False
Exp1_MainTable,c100_resnet56_resnet56_T3,REC,resnet56 -> resnet56,120,20,3,10.0,0.1,5.0,0.5,4838,72.6%,57.4%,single_ctrl,0.0009,1.2e-31,True,57.5%,0.0009,1.1e-32,True,58.0%,0.0009,3.4e-32,True,58.1%,0.0008,1.0e-31,True
Exp1_MainTable,c100_resnet56_resnet56_T3,REC,resnet56 -> resnet56,120,20,3,10.0,0.1,5.0,0.5,4838,72.6%,57.4%,suspect_top1,0.0009,1.1e-31,True,57.5%,0.0009,6.0e-33,True,58.0%,0.0009,9.9e-32,True,58.1%,0.0008,7.9e-31,True
Exp1_MainTable,c100_resnet56_resnet56_T5,REC,resnet56 -> resnet56,120,20,5,10.0,0.1,5.0,0.5,4935,72.6%,58.6%,mean_rest,0.0010,5.4e-18,False,58.6%,0.0010,3.2e-18,False,58.5%,0.0009,5.9e-18,False,58.7%,0.0008,2.8e-19,False
Exp1_MainTable,c100_resnet56_resnet56_T5,REC,resnet56 -> resnet56,120,20,5,10.0,0.1,5.0,0.5,4935,72.6%,58.6%,single_ctrl,0.0012,5.3e-50,True,58.6%,0.0011,1.5e-46,True,58.5%,0.0010,1.2e-43,True,58.7%,0.0010,1.0e-43,True
Exp1_MainTable,c100_resnet56_resnet56_T5,REC,resnet56 -> resnet56,120,20,5,10.0,0.1,5.0,0.5,4935,72.6%,58.6%,suspect_top1,0.0012,5.3e-50,True,58.6%,0.0011,1.7e-46,True,58.5%,0.0010,1.4e-43,True,58.7%,0.0010,1.5e-44,True
Exp1_MainTable,c100_resnet56_resnet56_T10,REC,resnet56 -> resnet56,120,20,10,10.0,0.1,5.0,0.5,4929,72.6%,60.1%,mean_rest,0.0009,1.2e-16,False,59.9%,0.0009,4.7e-17,False,60.0%,0.0009,6.2e-16,False,60.2%,0.0008,1.2e-13,False
Exp1_MainTable,c100_resnet56_resnet56_T10,REC,resnet56 -> resnet56,120,20,10,10.0,0.1,5.0,0.5,4929,72.6%,60.1%,single_ctrl,0.0011,1.1e-54,True,59.9%,0.0011,1.9e-50,True,60.0%,0.0010,3.4e-46,True,60.2%,0.0010,4.5e-46,True
Exp1_MainTable,c100_resnet56_resnet56_T10,REC,resnet56 -> resnet56,120,20,10,10.0,0.1,5.0,0.5,4929,72.6%,60.1%,suspect_top1,0.0011,2.5e-54,True,59.9%,0.0011,3.4e-50,True,60.0%,0.0010,1.3e-45,True,60.2%,0.0010,3.0e-45,True
Exp1_MainTable,c100_vgg11_vgg11_T1,REC,vgg11 -> vgg11,120,20,1,10.0,0.1,5.0,0.5,5077,70.8%,38.3%,mean_rest,-0.0005,1.0e+00,False,33.3%,-0.0004,1.0e+00,False,30.2%,-0.0005,1.0e+00,False,26.4%,-0.0005,1.0e+00,False
Exp1_MainTable,c100_vgg11_vgg11_T1,REC,vgg11 -> vgg11,120,20,1,10.0,0.1,5.0,0.5,5077,70.8%,38.3%,single_ctrl,0.0002,9.6e-01,False,33.3%,0.0006,2.1e-03,False,30.2%,0.0005,1.9e-03,False,26.4%,0.0004,4.1e-04,False
Exp1_MainTable,c100_vgg11_vgg11_T1,REC,vgg11 -> vgg11,120,20,1,10.0,0.1,5.0,0.5,5077,70.8%,38.3%,suspect_top1,0.0003,9.2e-01,False,33.3%,0.0006,2.7e-02,False,30.2%,0.0004,4.7e-02,False,26.4%,0.0002,4.3e-02,False
Exp1_MainTable,c100_vgg11_vgg11_T3,REC,vgg11 -> vgg11,120,20,3,10.0,0.1,5.0,0.5,5044,70.8%,49.0%,mean_rest,0.0006,6.9e-13,False,45.5%,0.0005,4.0e-15,False,47.1%,0.0004,5.5e-14,False,47.7%,0.0004,1.8e-15,False
Exp1_MainTable,c100_vgg11_vgg11_T3,REC,vgg11 -> vgg11,120,20,3,10.0,0.1,5.0,0.5,5044,70.8%,49.0%,single_ctrl,0.0009,6.8e-50,True,45.5%,0.0007,1.6e-55,True,47.1%,0.0006,8.2e-50,True,47.7%,0.0006,3.2e-47,True
Exp1_MainTable,c100_vgg11_vgg11_T3,REC,vgg11 -> vgg11,120,20,3,10.0,0.1,5.0,0.5,5044,70.8%,49.0%,suspect_top1,0.0009,3.8e-50,True,45.5%,0.0007,5.4e-55,True,47.1%,0.0006,5.3e-50,True,47.7%,0.0006,5.7e-47,True
Exp1_MainTable,c100_vgg11_vgg11_T5,REC,vgg11 -> vgg11,120,20,5,10.0,0.1,5.0,0.5,4932,70.8%,50.3%,mean_rest,0.0004,1.3e-06,False,47.9%,0.0004,2.9e-07,False,47.8%,0.0003,7.2e-07,False,47.8%,0.0003,2.4e-06,False
Exp1_MainTable,c100_vgg11_vgg11_T5,REC,vgg11 -> vgg11,120,20,5,10.0,0.1,5.0,0.5,4932,70.8%,50.3%,single_ctrl,0.0007,2.2e-29,True,47.9%,0.0006,2.2e-30,True,47.8%,0.0005,1.6e-32,True,47.8%,0.0005,2.9e-33,True
Exp1_MainTable,c100_vgg11_vgg11_T5,REC,vgg11 -> vgg11,120,20,5,10.0,0.1,5.0,0.5,4932,70.8%,50.3%,suspect_top1,0.0007,6.0e-30,True,47.9%,0.0006,1.6e-30,True,47.8%,0.0005,1.2e-33,True,47.8%,0.0005,7.0e-35,True
Exp1_MainTable,c100_vgg11_vgg11_T10,REC,vgg11 -> vgg11,120,20,10,10.0,0.1,5.0,0.5,5035,70.8%,52.8%,mean_rest,0.0006,3.6e-16,False,51.8%,0.0005,1.8e-15,False,51.0%,0.0004,2.4e-13,False,51.0%,0.0004,2.3e-13,False
Exp1_MainTable,c100_vgg11_vgg11_T10,REC,vgg11 -> vgg11,120,20,10,10.0,0.1,5.0,0.5,5035,70.8%,52.8%,single_ctrl,0.0007,5.2e-29,True,51.8%,0.0006,6.4e-29,True,51.0%,0.0005,1.8e-26,True,51.0%,0.0005,1.0e-25,True
Exp1_MainTable,c100_vgg11_vgg11_T10,REC,vgg11 -> vgg11,120,20,10,10.0,0.1,5.0,0.5,5035,70.8%,52.8%,suspect_top1,0.0007,3.6e-28,True,51.8%,0.0006,1.6e-28,True,51.0%,0.0005,2.7e-26,True,51.0%,0.0005,2.6e-25,True
Exp2_RWSweep,c100_rw_sweep_0.05,REC,resnet56 -> resnet56,160,40,5,10.0,0.05,7.0,0.5,2447,72.6%,58.6%,mean_rest,0.0010,5.8e-06,False,58.1%,0.0009,2.7e-06,False,58.6%,0.0008,9.4e-06,False,59.2%,0.0007,4.4e-05,False
