Experiment,Tag,Trigger,Arch_Pair,Dist_Ep,FT_Ep,Temp,V_Temp,RW,Delta,Beta,Trig_Size,T_Acc,S_Acc(FT0%),Design,FT0%_Shift,FT0%_P,FT0%_Ver,FT1%_Acc,FT1%_Shift,FT1%_P,FT1%_Ver,FT5%_Acc,FT5%_Shift,FT5%_P,FT5%_Ver,FT10%_Acc,FT10%_Shift,FT10%_P,FT10%_Ver
Exp1_MainTable,c10_resnet20_vgg11_T10,REC,resnet20 -> vgg11,80,20,10,10.0,0.1,5.0,0.5,4890,92.6%,86.2%,mean_rest,0.0107,8.4e-166,True,85.8%,0.0094,3.1e-179,True,85.9%,0.0084,2.5e-151,True,85.8%,0.0086,4.7e-137,True
Exp1_MainTable,c10_vgg11_vgg11_T1,REC,vgg11 -> vgg11,80,20,1,10.0,0.1,5.0,0.5,4927,92.8%,83.2%,mean_rest,0.0235,0.0e+00,True,82.7%,0.0227,0.0e+00,True,82.6%,0.0201,0.0e+00,True,82.7%,0.0174,0.0e+00,True
Exp1_MainTable,c10_vgg11_vgg11_T3,REC,vgg11 -> vgg11,80,20,3,10.0,0.1,5.0,0.5,5016,92.8%,83.3%,mean_rest,0.0081,0.0e+00,True,82.6%,0.0071,1.9e-309,True,82.0%,0.0056,4.1e-244,True,82.1%,0.0048,4.5e-212,True
Exp1_MainTable,c10_vgg11_vgg11_T5,REC,vgg11 -> vgg11,80,20,5,10.0,0.1,5.0,0.5,4981,92.8%,84.4%,mean_rest,0.0053,1.2e-178,True,83.8%,0.0048,3.8e-164,True,82.5%,0.0039,2.2e-131,True,83.3%,0.0041,2.9e-119,True
Exp1_MainTable,c10_vgg11_vgg11_T10,REC,vgg11 -> vgg11,80,20,10,10.0,0.1,5.0,0.5,5022,92.8%,84.3%,mean_rest,0.0054,6.3e-218,True,83.9%,0.0046,3.3e-169,True,83.4%,0.0035,2.9e-105,True,83.5%,0.0030,4.2e-76,True
Exp2_RWSweep,rw_sweep_0.01,OWN,resnet20 -> resnet20,80,20,5,10.0,0.01,5.0,0.5,50000,92.6%,84.4%,mean_rest,0.0026,1.0e+00,False,84.0%,0.0023,1.0e+00,False,83.9%,0.0022,1.0e+00,False,84.1%,0.0023,1.0e+00,False
Exp2_RWSweep,rw_sweep_0.05,OWN,resnet20 -> resnet20,80,20,5,10.0,0.05,5.0,0.5,50000,92.6%,84.8%,mean_rest,0.0037,9.0e-01,False,84.6%,0.0038,1.0e+00,False,84.4%,0.0036,2.1e-01,False,84.7%,0.0032,8.3e-01,False
Exp2_RWSweep,rw_sweep_0.10,OWN,resnet20 -> resnet20,80,20,5,10.0,0.1,5.0,0.5,50000,92.6%,84.5%,mean_rest,0.0058,2.4e-173,True,84.3%,0.0060,3.9e-157,True,84.4%,0.0056,4.0e-191,True,84.4%,0.0054,1.2e-191,True
Exp2_RWSweep,rw_sweep_0.20,OWN,resnet20 -> resnet20,80,20,5,10.0,0.2,5.0,0.5,50000,92.6%,83.9%,mean_rest,0.0101,0.0e+00,True,83.7%,0.0094,0.0e+00,True,84.5%,0.0090,0.0e+00,True,84.2%,0.0093,0.0e+00,True
Exp2_RWSweep,rw_sweep_0.01,REC,resnet20 -> resnet20,80,20,5,10.0,0.01,5.0,0.5,525,92.6%,84.4%,mean_rest,0.0091,6.3e-07,False,84.1%,0.0084,4.9e-05,False,84.1%,0.0075,3.1e-05,False,84.0%,0.0071,1.8e-04,False
Exp2_RWSweep,rw_sweep_0.05,REC,resnet20 -> resnet20,80,20,5,10.0,0.05,5.0,0.5,2443,92.6%,84.8%,mean_rest,0.0102,2.1e-59,True,84.6%,0.0098,1.6e-48,True,84.6%,0.0101,3.4e-55,True,84.7%,0.0097,1.1e-53,True
Exp2_RWSweep,rw_sweep_0.10,REC,resnet20 -> resnet20,80,20,5,10.0,0.1,5.0,0.5,5081,92.6%,84.5%,mean_rest,0.0131,1.4e-246,True,84.5%,0.0128,2.4e-226,True,84.5%,0.0121,3.9e-219,True,84.3%,0.0123,3.7e-218,True
Exp2_RWSweep,rw_sweep_0.20,REC,resnet20 -> resnet20,80,20,5,10.0,0.2,5.0,0.5,10161,92.6%,83.9%,mean_rest,0.0172,0.0e+00,True,84.0%,0.0160,0.0e+00,True,84.2%,0.0154,0.0e+00,True,84.2%,0.0146,0.0e+00,True
Exp3_DeltaLogitSweep,d_sweep_1.0,OWN,resnet20 -> resnet20,80,20,5,10.0,0.1,1.0,0.5,50000,92.6%,84.8%,mean_rest,0.0029,1.0e+00,False,84.4%,0.0030,1.0e+00,False,84.6%,0.0024,1.0e+00,False,84.3%,0.0028,1.0e+00,False
Exp3_DeltaLogitSweep,d_sweep_2.0,OWN,resnet20 -> resnet20,80,20,5,10.0,0.1,2.0,0.5,50000,92.6%,83.9%,mean_rest,0.0039,9.9e-01,False,83.6%,0.0037,1.0e+00,False,83.6%,0.0036,1.0e+00,False,84.0%,0.0029,1.0e+00,False
Exp3_DeltaLogitSweep,d_sweep_3.0,OWN,resnet20 -> resnet20,80,20,5,10.0,0.1,3.0,0.5,50000,92.6%,84.2%,mean_rest,0.0044,1.8e-08,False,84.2%,0.0040,1.1e-01,False,84.2%,0.0041,2.2e-10,False,84.5%,0.0041,3.1e-13,False
Exp3_DeltaLogitSweep,d_sweep_5.0,OWN,resnet20 -> resnet20,80,20,5,10.0,0.1,5.0,0.5,50000,92.6%,84.2%,mean_rest,0.0061,7.9e-189,True,84.0%,0.0053,2.8e-121,True,84.2%,0.0053,1.0e-132,True,84.2%,0.0048,5.2e-96,True
Exp3_DeltaLogitSweep,d_sweep_7.0,OWN,resnet20 -> resnet20,80,20,5,10.0,0.1,7.0,0.5,50000,92.6%,84.0%,mean_rest,0.0069,0.0e+00,True,84.0%,0.0061,1.5e-202,True,84.1%,0.0061,3.0e-234,True,84.2%,0.0056,8.0e-163,True
Exp3_DeltaLogitSweep,d_sweep_1.0,REC,resnet20 -> resnet20,80,20,5,10.0,0.1,1.0,0.5,4883,92.6%,84.8%,mean_rest,0.0041,6.7e-06,False,84.3%,0.0041,1.2e-04,False,84.2%,0.0039,4.8e-06,False,84.1%,0.0040,1.3e-07,False
Exp3_DeltaLogitSweep,d_sweep_2.0,REC,resnet20 -> resnet20,80,20,5,10.0,0.1,2.0,0.5,4976,92.6%,83.9%,mean_rest,0.0065,5.7e-35,True,83.7%,0.0063,1.7e-24,True,84.1%,0.0057,1.4e-21,True,84.1%,0.0058,1.6e-24,True
Exp3_DeltaLogitSweep,d_sweep_3.0,REC,resnet20 -> resnet20,80,20,5,10.0,0.1,3.0,0.5,4942,92.6%,84.2%,mean_rest,0.0080,4.4e-71,True,84.0%,0.0075,4.0e-59,True,84.1%,0.0079,2.0e-68,True,84.4%,0.0073,5.2e-43,True
Exp3_DeltaLogitSweep,d_sweep_5.0,REC,resnet20 -> resnet20,80,20,5,10.0,0.1,5.0,0.5,4970,92.6%,84.2%,mean_rest,0.0131,2.8e-224,True,84.2%,0.0121,3.5e-201,True,84.5%,0.0118,5.6e-200,True,84.3%,0.0116,2.4e-171,True
Exp3_DeltaLogitSweep,d_sweep_7.0,REC,resnet20 -> resnet20,80,20,5,10.0,0.1,7.0,0.5,5003,92.6%,84.0%,mean_rest,0.0153,7.8e-295,True,84.0%,0.0143,4.2e-263,True,84.2%,0.0135,3.4e-234,True,84.0%,0.0129,2.1e-224,True
Exp4_BetaSweep,beta_sweep_0.1,OWN,resnet20 -> resnet20,80,20,5,10.0,0.1,5.0,0.1,50000,92.6%,84.7%,mean_rest,0.0027,1.0e+00,False,84.5%,0.0024,1.0e+00,False,84.6%,0.0024,1.0e+00,False,84.8%,0.0026,1.0e+00,False
