Experiment,Tag,Trigger,Arch_Pair,Dist_Ep,FT_Ep,Temp,V_Temp,RW,Delta,Beta,Trig_Size,T_Acc,S_Acc(FT0%),Design,FT0%_Shift,FT0%_P,FT0%_Ver,FT1%_Acc,FT1%_Shift,FT1%_P,FT1%_Ver,FT5%_Acc,FT5%_Shift,FT5%_P,FT5%_Ver,FT10%_Acc,FT10%_Shift,FT10%_P,FT10%_Ver
Exp1_MainTable,c100_resnet56_resnet20_T1,REC,resnet56 -> resnet20,160,40,1,10.0,0.1,10.0,0.5,4953,72.6%,47.0%,mean_rest,-0.0001,1.0e+00,False,46.8%,-0.0001,1.0e+00,False,48.4%,-0.0001,1.0e+00,False,49.4%,-0.0002,1.0e+00,False
Exp1_MainTable,c100_resnet56_resnet20_T1,REC,resnet56 -> resnet20,160,40,1,10.0,0.1,10.0,0.5,4953,72.6%,47.0%,single_ctrl,0.0004,1.3e-01,False,46.8%,0.0004,4.2e-01,False,48.4%,0.0004,3.2e-01,False,49.4%,0.0003,3.8e-01,False
Exp1_MainTable,c100_resnet56_resnet20_T1,REC,resnet56 -> resnet20,160,40,1,10.0,0.1,10.0,0.5,4953,72.6%,47.0%,suspect_top1,0.0004,1.3e-01,False,46.8%,0.0004,4.0e-01,False,48.4%,0.0004,3.4e-01,False,49.4%,0.0003,2.9e-01,False
Exp1_MainTable,c100_resnet56_resnet20_T5,REC,resnet56 -> resnet20,160,40,5,10.0,0.1,10.0,0.5,4965,72.6%,53.4%,mean_rest,0.0008,3.0e-06,False,52.6%,0.0007,4.8e-05,False,52.8%,0.0005,5.4e-07,False,53.1%,0.0005,7.8e-10,False
Exp1_MainTable,c100_resnet56_resnet20_T5,REC,resnet56 -> resnet20,160,40,5,10.0,0.1,10.0,0.5,4965,72.6%,53.4%,single_ctrl,0.0010,1.8e-43,True,52.6%,0.0009,7.6e-35,True,52.8%,0.0007,1.3e-35,True,53.1%,0.0006,2.6e-38,True
Exp1_MainTable,c100_resnet56_resnet20_T5,REC,resnet56 -> resnet20,160,40,5,10.0,0.1,10.0,0.5,4965,72.6%,53.4%,suspect_top1,0.0010,2.4e-43,True,52.6%,0.0009,1.5e-35,True,52.8%,0.0007,4.9e-34,True,53.1%,0.0006,1.7e-37,True
Exp1_MainTable,c100_resnet56_resnet20_T10,REC,resnet56 -> resnet20,160,40,10,10.0,0.1,10.0,0.5,5099,72.6%,53.9%,mean_rest,0.0007,2.3e-04,False,53.5%,0.0006,9.0e-05,False,54.0%,0.0005,4.5e-05,False,54.4%,0.0004,2.1e-05,False
Exp1_MainTable,c100_resnet56_resnet20_T10,REC,resnet56 -> resnet20,160,40,10,10.0,0.1,10.0,0.5,5099,72.6%,53.9%,single_ctrl,0.0009,4.5e-38,True,53.5%,0.0008,1.5e-33,True,54.0%,0.0007,2.5e-34,True,54.4%,0.0007,1.7e-38,True
Exp1_MainTable,c100_resnet56_resnet20_T10,REC,resnet56 -> resnet20,160,40,10,10.0,0.1,10.0,0.5,5099,72.6%,53.9%,suspect_top1,0.0009,5.0e-40,True,53.5%,0.0008,1.6e-32,True,54.0%,0.0007,2.1e-34,True,54.4%,0.0007,1.0e-39,True
Exp1_MainTable,c100_resnet56_resnet56_T1,REC,resnet56 -> resnet56,160,40,1,10.0,0.1,10.0,0.5,4970,72.6%,54.0%,mean_rest,0.0004,1.0e+00,False,53.8%,0.0004,1.0e+00,False,54.5%,0.0004,1.0e+00,False,54.9%,0.0004,1.0e+00,False
Exp1_MainTable,c100_resnet56_resnet56_T1,REC,resnet56 -> resnet56,160,40,1,10.0,0.1,10.0,0.5,4970,72.6%,54.0%,single_ctrl,0.0008,8.5e-13,False,53.8%,0.0008,1.8e-11,False,54.5%,0.0007,2.4e-11,False,54.9%,0.0006,2.6e-09,False
Exp1_MainTable,c100_resnet56_resnet56_T1,REC,resnet56 -> resnet56,160,40,1,10.0,0.1,10.0,0.5,4970,72.6%,54.0%,suspect_top1,0.0008,8.5e-13,False,53.8%,0.0008,1.8e-11,False,54.5%,0.0007,2.6e-11,False,54.9%,0.0006,3.0e-09,False
Exp1_MainTable,c100_resnet56_resnet56_T5,REC,resnet56 -> resnet56,160,40,5,10.0,0.1,10.0,0.5,4959,72.6%,58.6%,mean_rest,0.0010,4.4e-13,False,58.2%,0.0009,3.4e-14,False,58.5%,0.0008,5.6e-14,False,58.8%,0.0007,6.5e-13,False
Exp1_MainTable,c100_resnet56_resnet56_T5,REC,resnet56 -> resnet56,160,40,5,10.0,0.1,10.0,0.5,4959,72.6%,58.6%,single_ctrl,0.0012,4.2e-51,True,58.2%,0.0011,6.0e-46,True,58.5%,0.0010,2.8e-45,True,58.8%,0.0009,1.0e-42,True
Exp1_MainTable,c100_resnet56_resnet56_T5,REC,resnet56 -> resnet56,160,40,5,10.0,0.1,10.0,0.5,4959,72.6%,58.6%,suspect_top1,0.0012,2.4e-50,True,58.2%,0.0011,1.6e-45,True,58.5%,0.0010,8.3e-44,True,58.8%,0.0009,6.5e-42,True
Exp1_MainTable,c100_resnet56_resnet56_T10,REC,resnet56 -> resnet56,160,40,10,10.0,0.1,10.0,0.5,4994,72.6%,59.4%,mean_rest,0.0010,5.7e-23,True,59.3%,0.0009,1.2e-19,False,59.6%,0.0008,2.2e-19,False,59.6%,0.0007,1.0e-13,False
Exp1_MainTable,c100_resnet56_resnet56_T10,REC,resnet56 -> resnet56,160,40,10,10.0,0.1,10.0,0.5,4994,72.6%,59.4%,single_ctrl,0.0011,1.2e-56,True,59.3%,0.0010,1.3e-45,True,59.6%,0.0010,1.1e-45,True,59.6%,0.0008,2.0e-43,True
Exp1_MainTable,c100_resnet56_resnet56_T10,REC,resnet56 -> resnet56,160,40,10,10.0,0.1,10.0,0.5,4994,72.6%,59.4%,suspect_top1,0.0011,1.2e-56,True,59.3%,0.0010,1.6e-45,True,59.6%,0.0010,3.7e-44,True,59.6%,0.0008,1.4e-41,True
Exp1_MainTable,c100_vgg11_vgg11_T1,REC,vgg11 -> vgg11,160,40,1,10.0,0.1,10.0,0.5,5010,70.8%,41.3%,mean_rest,0.0021,1.0e+00,False,32.8%,0.0017,1.0e+00,False,32.8%,0.0012,1.0e+00,False,32.4%,0.0012,1.0e+00,False
Exp1_MainTable,c100_vgg11_vgg11_T1,REC,vgg11 -> vgg11,160,40,1,10.0,0.1,10.0,0.5,5010,70.8%,41.3%,single_ctrl,0.0026,2.9e-03,False,32.8%,0.0023,5.2e-07,False,32.8%,0.0017,2.4e-08,False,32.4%,0.0016,3.8e-07,False
Exp1_MainTable,c100_vgg11_vgg11_T1,REC,vgg11 -> vgg11,160,40,1,10.0,0.1,10.0,0.5,5010,70.8%,41.3%,suspect_top1,0.0026,3.9e-03,False,32.8%,0.0021,3.7e-04,False,32.8%,0.0015,3.5e-04,False,32.4%,0.0015,1.6e-03,False
Exp1_MainTable,c100_vgg11_vgg11_T5,REC,vgg11 -> vgg11,160,40,5,10.0,0.1,10.0,0.5,4995,70.8%,54.3%,mean_rest,0.0008,1.1e-19,False,52.4%,0.0007,5.7e-21,True,51.6%,0.0006,1.4e-21,True,27.4%,0.0000,4.0e-01,False
Exp1_MainTable,c100_vgg11_vgg11_T5,REC,vgg11 -> vgg11,160,40,5,10.0,0.1,10.0,0.5,4995,70.8%,54.3%,single_ctrl,0.0010,2.4e-52,True,52.4%,0.0008,2.8e-52,True,51.6%,0.0007,4.3e-51,True,27.4%,0.0001,1.5e-12,False
