Experiment,Tag,Trigger,Arch_Pair,Dist_Ep,FT_Ep,Temp,V_Temp,RW,Delta,Beta,Trig_Size,T_Acc,S_Acc(FT0%),Design,FT0%_Shift,FT0%_P,FT0%_Ver,FT1%_Acc,FT1%_Shift,FT1%_P,FT1%_Ver,FT5%_Acc,FT5%_Shift,FT5%_P,FT5%_Ver,FT10%_Acc,FT10%_Shift,FT10%_P,FT10%_Ver
Exp1_MainTable,c100_resnet56_resnet20_T1,REC,resnet56 -> resnet20,160,40,1,10.0,0.1,10.0,0.5,4953,72.6%,47.0%,mean_rest,-0.0001,1.0e+00,False,46.8%,-0.0001,1.0e+00,False,48.4%,-0.0001,1.0e+00,False,49.4%,-0.0002,1.0e+00,False
Exp1_MainTable,c100_resnet56_resnet20_T5,REC,resnet56 -> resnet20,160,40,5,10.0,0.1,10.0,0.5,4965,72.6%,53.4%,mean_rest,0.0008,3.0e-06,False,52.6%,0.0007,4.8e-05,False,52.8%,0.0005,5.4e-07,False,53.1%,0.0005,7.8e-10,False
Exp1_MainTable,c100_resnet56_resnet20_T10,REC,resnet56 -> resnet20,160,40,10,10.0,0.1,10.0,0.5,5099,72.6%,53.9%,mean_rest,0.0007,2.3e-04,False,53.5%,0.0006,9.0e-05,False,54.0%,0.0005,4.5e-05,False,54.4%,0.0004,2.1e-05,False
Exp1_MainTable,c100_resnet56_resnet56_T1,REC,resnet56 -> resnet56,160,40,1,10.0,0.1,10.0,0.5,4970,72.6%,54.0%,mean_rest,0.0004,1.0e+00,False,53.8%,0.0004,1.0e+00,False,54.5%,0.0004,1.0e+00,False,54.9%,0.0004,1.0e+00,False
Exp1_MainTable,c100_resnet56_resnet56_T5,REC,resnet56 -> resnet56,160,40,5,10.0,0.1,10.0,0.5,4959,72.6%,58.6%,mean_rest,0.0010,4.4e-13,False,58.2%,0.0009,3.4e-14,False,58.5%,0.0008,5.6e-14,False,58.8%,0.0007,6.5e-13,False
Exp1_MainTable,c100_resnet56_resnet56_T10,REC,resnet56 -> resnet56,160,40,10,10.0,0.1,10.0,0.5,4994,72.6%,59.4%,mean_rest,0.0010,5.7e-23,True,59.3%,0.0009,1.2e-19,False,59.6%,0.0008,2.2e-19,False,59.6%,0.0007,1.0e-13,False
Exp1_MainTable,c100_vgg11_vgg11_T1,REC,vgg11 -> vgg11,160,40,1,10.0,0.1,10.0,0.5,5010,70.8%,41.3%,mean_rest,0.0021,1.0e+00,False,32.8%,0.0017,1.0e+00,False,32.8%,0.0012,1.0e+00,False,32.4%,0.0012,1.0e+00,False
Exp1_MainTable,c100_vgg11_vgg11_T5,REC,vgg11 -> vgg11,160,40,5,10.0,0.1,10.0,0.5,4995,70.8%,54.3%,mean_rest,0.0008,1.1e-19,False,52.4%,0.0007,5.7e-21,True,51.6%,0.0006,1.4e-21,True,27.4%,0.0000,4.0e-01,False
Exp1_MainTable,c100_vgg11_vgg11_T10,REC,vgg11 -> vgg11,160,40,10,10.0,0.1,10.0,0.5,4962,70.8%,54.6%,mean_rest,0.0009,5.3e-28,True,52.8%,0.0008,1.8e-27,True,52.9%,0.0007,5.8e-26,True,51.0%,0.0006,2.8e-24,True
